# File gti_17511.dat
# Created Thu Oct 27 11:37:21 2016
#
# This file lists the good time intervals (GTIs) for RXTE/PCA and 
# INTEGRAL/JEM-X observations of IGR J17511-3057 during the 2009 outburst.
#
# Columns are:
#   minbar-obs ID number, MJD start, MJD end
#
180866 55080.16030 55080.16677
180867 55080.16881 55080.18894
180868 55080.19094 55080.21112
180869 55080.21307 55080.23329
180870 55080.23530 55080.27308
180871 55080.27502 55080.29526
180872 55080.29715 55080.31742
180873 55080.31900 55080.33960
180874 55084.37326 55084.38074
180875 55084.38182 55084.42217
180876 55084.42377 55084.46396
180877 55084.46590 55084.50621
180878 55084.50623 55084.51159
180879 55086.13150 55086.13895
180880 55086.14002 55086.16083
180881 55086.16217 55086.18052
180882 55086.18457 55086.20518
180883 55086.20688 55086.24563
180884 55086.24697 55086.26782
180885 55086.26920 55086.28998
180886 55086.29133 55086.31217
 26320 55088.12330 55088.13960
 26321 55088.24778 55088.24921
 26321 55088.24926 55088.27719
 26321 55088.31315 55088.34830
 26324 55088.70571 55088.74377
 26324 55088.77099 55088.80932
 26324 55088.83654 55088.87469
 26324 55088.90191 55088.91756
180887 55089.12891 55089.13606
180888 55089.13715 55089.15793
180889 55089.15928 55089.17913
180890 55089.18205 55089.20227
180891 55089.20428 55089.24237
180891 55089.24249 55089.24304
180891 55089.24350 55089.25505
 26325 55089.23330 55089.25849
 26325 55089.29444 55089.32812
 26325 55089.35981 55089.39701
180892 55089.25644 55089.27726
180893 55089.27864 55089.29943
180894 55089.30077 55089.32160
 26326 55089.49238 55089.52870
 26326 55089.55610 55089.58675
 26328 55089.62146 55089.65943
 26328 55089.68683 55089.72480
 26328 55089.75220 55089.79017
 26328 55089.81757 55089.85572
 26328 55089.88313 55089.89738
 26330 55090.14466 55090.16812
 26331 55090.21478 55090.23849
 26332 55090.34105 55090.37756
 26332 55090.40642 55090.44419
 26333 55090.66806 55090.70584
 26333 55090.73343 55090.77121
 26333 55090.79880 55090.83658
180895 55090.96156 55090.99486
180896 55090.99646 55091.03014
230460 55091.03211 55091.06545
180897 55091.10211 55091.13605
180898 55091.13748 55091.17136
180899 55091.17277 55091.20666
 26335 55091.19460 55091.21830
180900 55091.20861 55091.24196
180901 55091.24398 55091.27726
 26336 55091.25675 55091.28775
 26336 55091.32212 55091.35738
 26336 55091.38749 55091.42509
180902 55091.27907 55091.31256
180903 55091.31407 55091.34786
180904 55091.34944 55091.38335
180905 55091.38509 55091.41865
180906 55091.42009 55091.45159
180907 55091.45562 55091.48766
180908 55091.49148 55091.52369
 26337 55091.51886 55091.55593
 26337 55091.58371 55091.62130
 26337 55091.64908 55091.68667
 26337 55091.71445 55091.75223
180909 55091.52675 55091.56004
180910 55091.56167 55091.59534
180911 55091.59686 55091.63064
180912 55091.66769 55091.70161
180913 55091.70334 55091.73692
180914 55091.73862 55091.77222
 26338 55091.77984 55091.78120
 26338 55091.78127 55091.81762
180915 55091.84547 55091.87693
180916 55091.88044 55091.91426
180917 55091.91621 55091.94958
180918 55091.95141 55091.98488
180919 55091.98643 55092.02036
180920 55092.02242 55092.05567
 26339 55092.04275 55092.05904
180921 55092.05742 55092.09097
180922 55092.09252 55092.12386
180923 55092.12775 55092.15961
180924 55092.16303 55092.20738
180925 55092.22600 55092.24701
180925 55092.24714 55092.29110
180926 55092.29317 55092.32644
 26342 55092.30314 55092.33719
 26342 55092.36851 55092.40610
 26342 55092.43388 55092.47147
 26342 55092.49925 55092.53684
180927 55092.32845 55092.36173
180928 55092.36327 55092.39703
180929 55092.39857 55092.43252
180930 55092.43420 55092.46782
180931 55092.46929 55092.50311
180932 55092.50466 55092.53859
180933 55092.54014 55092.55360
180933 55092.55423 55092.59646
230461 55092.63364 55092.66707
230462 55092.66845 55092.70236
180934 55092.70410 55092.73768
180935 55092.73922 55092.77317
180936 55092.81106 55092.84444
180937 55092.84587 55092.87974
180938 55092.95217 55092.98563
 26343 55092.95756 55092.97238
180939 55092.98700 55093.02093
180940 55093.02262 55093.09579
180941 55093.09783 55093.13108
180942 55093.13264 55093.16638
180943 55093.16839 55093.20167
180944 55093.20322 55093.23718
180945 55093.23876 55093.27264
180946 55093.27468 55093.30796
 26344 55093.28441 55093.31701
180947 55093.30987 55093.34326
180948 55093.34487 55093.37686
180949 55093.38005 55093.41385
180950 55093.41570 55093.44915
180951 55093.45052 55093.48446
 26346 55093.67657 55093.71397
 26346 55093.74194 55093.77934
 26348 55093.87278 55093.88423
180952 55093.92041 55093.92124
180952 55093.92178 55093.93232
180953 55093.93433 55093.95185
 26349 55093.93825 55093.95219
180954 55093.95614 55093.97670
180955 55093.97813 55093.99886
180956 55094.00026 55094.02104
 26350 55094.00356 55094.01793
180957 55094.02304 55094.04321
180958 55094.04461 55094.06538
 26353 55094.52667 55094.56408
 26353 55094.59223 55094.62945
 26353 55094.65760 55094.69482
 26353 55094.72297 55094.76019
 26355 55095.31219 55095.34775
 26358 55096.22708 55096.25664
 26358 55096.29245 55096.32775
 26359 55096.35791 55096.39513
 26359 55096.42328 55096.46050
 26359 55096.48865 55096.52587
 26359 55096.55402 55096.59124
 26359 55096.61939 55096.65661
 26359 55096.68495 55096.68884
 26359 55096.68997 55096.69738
 26359 55096.70515 55096.72198
 26359 55096.75032 55096.75701
 26359 55096.78015 55096.78735
 26360 55097.14272 55097.16775
 26360 55097.20809 55097.23793
180959 55096.91329 55096.91411
180959 55096.91465 55096.94462
180960 55096.94664 55096.98555
180961 55097.02980 55097.06947
 26361 55097.60553 55097.63754
 26361 55097.66587 55097.67515
